19	0.6761		0.0120
23	0.7355		0.0037
29	0.6864		0.0087
31	0.7197		0.0037
37	0.7794		0.0015
41	0.7277		0.0054
43	0.7922		0.0032
47	0.7355		0.0033	
101	0.8496		0.0009
199	0.8635          0.0048	
401	0.9105		0.0024
797     0.9196          0.0030

