-264.20834753565491570537204779611784033477306365966796875	-247.63108847260359757225245402878499589860439300537109375
-265.20834753565491570537204779611784033477306365966796875	-247.63108847260359757225245402878499589860439300537109375
-264.24885456204041833672135908273048698902130126953125	-247.912821029445027243287569262975011952221393585205078125
-263.24885456204041833672135908273048698902130126953125	-247.912821029445027243287569262975011952221393585205078125
-264.20834753565491570537204779611784033477306365966796875	-247.63108847260359757225245402878499589860439300537109375
-264.2083475356549124857252763831638731062412261962890625	-225.174935145089189780787108929871465079486370086669921875
-265.2083475356549124857252763831638731062412261962890625	-225.174935145089189780787108929871465079486370086669921875
-264.24885456204041511707458766977651976048946380615234375	-225.45666770193061945182222416406148113310337066650390625
-263.24885456204041511707458766977651976048946380615234375	-225.45666770193061945182222416406148113310337066650390625
-264.2083475356549124857252763831638731062412261962890625	-225.174935145089189780787108929871465079486370086669921875
-263.553486801709624887113392333048977889120578765869140625	-207.27343826639994261995525448583066463470458984375
-264.553486801709624887113392333048977889120578765869140625	-207.27343826639994261995525448583066463470458984375
-263.593993828095127518462703619661624543368816375732421875	-207.555170823241372290990369720020680688321590423583984375
-262.593993828095127518462703619661624543368816375732421875	-207.555170823241372290990369720020680688321590423583984375
-263.553486801709624887113392333048977889120578765869140625	-207.27343826639994261995525448583066463470458984375
-264.20834753565490726767706064492813311517238616943359375	-187.392298503948829868637204754122649319469928741455078125
-265.20834753565490726767706064492813311517238616943359375	-187.392298503948829868637204754122649319469928741455078125
-264.248854562040409899026371931540779769420623779296875	-187.6740310607902595396723199883126653730869293212890625
-263.248854562040409899026371931540779769420623779296875	-187.6740310607902595396723199883126653730869293212890625
-264.20834753565490726767706064492813311517238616943359375	-187.392298503948829868637204754122649319469928741455078125
-264.208347535654904658652952775810263119637966156005859375	-168.735052050905324438900834138621576130390167236328125
-265.208347535654904658652952775810263119637966156005859375	-168.735052050905324438900834138621576130390167236328125
-264.248854562040407290002264062422909773886203765869140625	-169.016784607746754109935949372811592184007167816162109375
-263.248854562040407290002264062422909773886203765869140625	-169.016784607746754109935949372811592184007167816162109375
-264.208347535654904658652952775810263119637966156005859375	-168.735052050905324438900834138621576130390167236328125
-264.208347535654901439006181362856295891106128692626953125	-146.278898723390916647435489039708045311272144317626953125
-265.208347535654901439006181362856295891106128692626953125	-146.278898723390916647435489039708045311272144317626953125
-264.248854562040404070355492649468942545354366302490234375	-146.5606312802323463184706042738980613648891448974609375
-263.248854562040404070355492649468942545354366302490234375	-146.5606312802323463184706042738980613648891448974609375
-264.208347535654901439006181362856295891106128692626953125	-146.278898723390916647435489039708045311272144317626953125
-263.55348680170961384039429731274140067398548126220703125	-128.37740184470166948660363459566724486649036407470703125
-264.55348680170961384039429731274140067398548126220703125	-128.37740184470166948660363459566724486649036407470703125
-263.5939938280951164717436085993540473282337188720703125	-128.659134401543099157638749829857260920107364654541015625
-262.5939938280951164717436085993540473282337188720703125	-128.659134401543099157638749829857260920107364654541015625
-263.55348680170961384039429731274140067398548126220703125	-128.37740184470166948660363459566724486649036407470703125
-264.208347535654896220957965624620555900037288665771484375	-108.496262082250556735285584863959229551255702972412109375
-265.208347535654896220957965624620555900037288665771484375	-108.496262082250556735285584863959229551255702972412109375
-264.248854562040398852307276911233202554285526275634765625	-108.77799463909198640632070009814924560487270355224609375
-263.248854562040398852307276911233202554285526275634765625	-108.77799463909198640632070009814924560487270355224609375
-264.208347535654896220957965624620555900037288665771484375	-108.496262082250556735285584863959229551255702972412109375
-264.20834753565489361193385775550268590450286865234375	-89.83901562920705130554921424845815636217594146728515625
-265.20834753565489361193385775550268590450286865234375	-89.83901562920705130554921424845815636217594146728515625
-264.24885456204039624328316904211533255875110626220703125	-90.120748186048480976584329482648172415792942047119140625
-263.24885456204039624328316904211533255875110626220703125	-90.120748186048480976584329482648172415792942047119140625
-264.20834753565489361193385775550268590450286865234375	-89.83901562920705130554921424845815636217594146728515625
